"creation_date","status","completion_date","service_request_number","type_of_service_request","license_plate","vehicle_make_model","vehicle_color","current_activity","most_recent_action","how_many_days_has_the_vehicle_been_reported_as_parked_","street_address","zip_code","x_coordinate","y_coordinate","ward","police_district","community_area","ssa","latitude","longitude","location","location_address","location_city","location_state","location_zip"
"2016-03-14T00:00:00.000","Completed","2016-04-05T00:00:00.000","16-01717626","Abandoned Vehicle Complaint","9280511","Pontiac","Black","FVI - Outcome",,"31","3001 N WATERLOO CT","60657","1171265.0400008","1920192.4105229","44","19","6","8","41.9365106728361","-87.64584300855408","POINT (41.9365106728361 -87.64584300855408)",,,,
"2019-11-26T00:00:00.000","Completed","2019-12-05T00:00:00.000","19-00163924","Abandoned Vehicle Complaint","935U697","Mercedes","Gold","Initial Inspection","Vehicle was moved from original address requested","4","707 W WAVELAND AVE","60613","1170980.77599515","1924994.75526712","46","19","6","8","41.94953943879848","-87.64689862171525","POINT (41.94953943879848 -87.64689862171525)",,,,
"2018-08-01T00:00:00.000","Completed - Dup","2018-08-02T00:00:00.000","18-02273158","Abandoned Vehicle Complaint","S800026","Kia Motors Corp","White",,,"30","421 W SURF ST","60657","1172961.31342611","1919425.69880032","44","19","6","8","41.93421882641698","-87.64024259969786","POINT (41.93421882641698 -87.64024259969786)",,,,
"2018-07-31T00:00:00.000","Completed","2018-09-10T00:00:00.000","18-02265450","Abandoned Vehicle Complaint","DPT789","Saturn","Green","FVI - Outcome","Vehicle was moved from original address requested","30","524 W OAKDALE AVE","60657","1172241.29029055","1919862.60379729","44","19","6","8","41.93565501422728","-87.64285087064101","POINT (41.93565501422728 -87.64285087064101)",,,,
"2015-08-26T00:00:00.000","Completed","2015-11-27T00:00:00.000","15-04355628","Abandoned Vehicle Complaint","RJD520","Buick","Black","Place 7 Day Sticker","Follow on Activity was created","30","510 W ROSCOE ST","60657",,,"44","19","6","8","41.94345761352975","-87.642561993092","POINT (41.94345761352975 -87.642561993092)",,,,
"2016-05-17T00:00:00.000","Completed","2016-05-17T00:00:00.000","16-03400334","Abandoned Vehicle Complaint",,,,"FVI - Outcome","Return to Owner - Vehicle",,"711 W WAVELAND AVE","60613","1170943.37599515","1924977.85526712","46","19","6","8","41.94949030592004","-87.64704516859453","POINT (41.94949030592004 -87.64704516859453)",,,,
"2018-10-03T00:00:00.000","Completed","2018-10-29T00:00:00.000","18-02834106","Abandoned Vehicle Complaint","N25 1074","Nissan","Gray","Initial Inspection","Vehicle was moved from original address requested","9","3556 N PINE GROVE AVE","60657","1171453.85791482","1924144.77903097","46","19","6","8","41.94757837548595","-87.64549890987858","POINT (41.94757837548595 -87.64549890987858)",,,,
"2014-09-22T00:00:00.000","Completed","2014-10-01T00:00:00.000","14-01597872","Abandoned Vehicle Complaint","0000000000000","Jeep/Cherokee","Green","FVI - Outcome","Vehicle was moved from original address requested","20","445 W BRIAR PL","60657",,,"44","19","6","8","41.93862577670471","-87.64124420705237","POINT (41.93862577670471 -87.64124420705237)",,,,
"2014-02-17T00:00:00.000","Completed","2014-02-25T00:00:00.000","14-00219360","Abandoned Vehicle Complaint","1177","(Unlisted Construction Equipment Make)","Orange","FVI - Outcome","Return to Owner - Vehicle","75","606 W BELMONT AVE","60657",,,"44","19","6","8","41.94014760962044","-87.64473145030681","POINT (41.94014760962044 -87.64473145030681)",,,,
"2015-02-23T00:00:00.000","Completed","2015-03-30T00:00:00.000","15-00393519","Abandoned Vehicle Complaint","N687119","Toyota","Silver","FVI - Outcome","Need Vehicle Tow Report","99","2934 N PINE GROVE AVE","60657",,,"44","19","6","8","41.93537591866036","-87.64196465513965","POINT (41.93537591866036 -87.64196465513965)",,,,
"2011-10-02T00:00:00.000","Completed","2011-10-05T00:00:00.000","11-03884626","Abandoned Vehicle Complaint","UNKNOWN",,"Green","FVI - Outcome","Return to Owner - Vehicle","30","552 W ALDINE AVE","60657",,,"44","23","6","8","41.94234907558815","-87.6440650700543","POINT (41.94234907558815 -87.6440650700543)",,,,
"2015-09-07T00:00:00.000","Completed - Dup","2015-09-08T00:00:00.000","15-04631471","Abandoned Vehicle Complaint","UNKNOWN","Chevrolet","White","FVI - Outcome","Create Work Order","30","525 W HAWTHORNE PL","60657","1172254.14535","1923179.999025","44","19","6","8","41.944530999040424","-87.64233707009666","POINT (41.944530999040424 -87.64233707009666)",,,,
"2020-02-11T00:00:00.000","Completed - Dup","2020-02-11T00:00:00.000","20-00015968","Abandoned Vehicle Complaint","AVI430","Mitsubishi","Black",,,,"3733 N HALSTED ST","60613","1170249.63406841","1925138.05013197","46","19","6","8","41.950052664237134","-87.64942815211083","POINT (41.950052664237134 -87.64942815211083)",,,,
"2016-06-16T00:00:00.000","Completed","2016-06-23T00:00:00.000","16-04207256","Abandoned Vehicle Complaint",,,,"FVI - Outcome","Vehicle was moved from original address requested",,"545 W ROSCOE ST","60657","1171970.19816791","1922698.14576839","44","19","6","8","41.943224053707915","-87.64376166489666","POINT (41.943224053707915 -87.64376166489666)",,,,
"2015-11-20T00:00:00.000","Completed","2015-12-30T00:00:00.000","15-06283037","Abandoned Vehicle Complaint","R19 8401","Nissan","Silver","FVI - Outcome","Vehicle was moved from original address requested","30","3116 N ORCHARD ST","60657",,,"44","19","6","8","41.93850740407772","-87.6469306928909","POINT (41.93850740407772 -87.6469306928909)",,,,
"2020-01-21T00:00:00.000","Completed","2020-03-19T00:00:00.000","20-00008085","Abandoned Vehicle Complaint","ZZ80101","Honda","White","Initial Inspection","Proceed with Tow Case",,"561 W ROSCOE","60657","1171850.08192782","1922695.28003297","44","19","6","8","41.94321739491827","-87.64432375661715","POINT (41.94321739491827 -87.64432375661715)",,,,
"2018-12-06T00:00:00.000","Completed - Dup","2018-12-07T00:00:00.000","18-03303774","Abandoned Vehicle Complaint","AM29899","Chrysler","Black",,,"5","430 W ALDINE AVE","60657","1172557.07465","1922314.5252","44","19","6","8","41.94238374231369","-87.64117157951507","POINT (41.94238374231369 -87.64117157951507)",,,,
"2015-09-09T00:00:00.000","Completed - Dup","2015-09-18T00:00:00.000","15-04675624","Abandoned Vehicle Complaint","V612050","Cadillac","Gray","Place 7 Day Sticker","Follow on Activity was created","14","555 W BRIAR PL","60657","1171916.4899177","1921007.34251792","44","19","6","8","41.93858303899368","-87.64413471004808","POINT (41.93858303899368 -87.64413471004808)",,,,
"2012-08-01T00:00:00.000","Completed","2012-08-22T00:00:00.000","12-01377742","Abandoned Vehicle Complaint",,,,"FVI - Outcome","Vehicle was moved from original address requested",,"515 W OAKDALE AVE","60657",,,"44","19","6","8","41.93544149519294","-87.6424686199543","POINT (41.93544149519294 -87.6424686199543)",,,,
"2019-08-09T00:00:00.000","Completed","2019-10-07T00:00:00.000","19-00102690","Abandoned Vehicle Complaint","PZ2218","Ford","Black","Initial Inspection","Proceed with Tow Case",,"823 W BARRY AVE","60657","1170220.98126979","1920795.05078473","44","19","6","8","41.93804636901846","-87.65013109462862","POINT (41.93804636901846 -87.65013109462862)",,,,
"2019-03-17T00:00:00.000","Completed","2019-04-30T00:00:00.000","19-00031843","Abandoned Vehicle Complaint","T201610","Jeep","Black","Initial Inspection","Proceed with Tow Case",,"540 W ALDINE AVE","60657","1172050.98351374","1922301.40363136","44","19","6","8","41.942360635423405","-87.64363367247132","POINT (41.942360635423405 -87.64363367247132)",,,,
"2015-09-03T00:00:00.000","Completed - Dup","2015-09-08T00:00:00.000","15-04557806","Abandoned Vehicle Complaint","V61250","Cadillac","Silver","FVI - Outcome","Create Work Order","21","3135 N BROADWAY","60657","1171703.29710944","1921012.09992667","44","19","6","8","41.93865299947871","-87.64420513906636","POINT (41.93865299947871 -87.64420513906636)",,,,
"2015-01-15T00:00:00.000","Completed","2015-01-23T00:00:00.000","15-00077361","Abandoned Vehicle Complaint","N/A","(Homemade Motorcycle, Moped.Etc.)","Black","FVI - Outcome","Vehicle was moved from original address requested","10","3600 N PINE GROVE AVE","60613","1171351.40248021","1924365.92966608","46","19","6","8","41.94793278258009","-87.64571190655495","POINT (41.94793278258009 -87.64571190655495)",,,,
"2015-02-24T00:00:00.000","Completed - Dup","2015-02-24T00:00:00.000","15-00399066","Abandoned Vehicle Complaint","6367",,"White","FVI - Outcome","Create Work Order","31","842 W DIVERSEY PKWY","60614","1170067.58987828","1918803.32338919","44","19","6","8","41.9327994554691","-87.6507525464615","POINT (41.9327994554691 -87.6507525464615)",,,,
"2017-02-04T00:00:00.000","Completed","2017-03-13T00:00:00.000","17-00642109","Abandoned Vehicle Complaint","S745543","Chevrolet","Black","FVI - Outcome","Vehicle was moved from original address requested","30","532 W ROSCOE ST","60657","1172067.79816791","1922700.44576839","44","19","6","8","41.94344889819831","-87.64331345176811","POINT (41.94344889819831 -87.64331345176811)",,,,
"2014-11-17T00:00:00.000","Completed","2014-12-22T00:00:00.000","14-01985841","Abandoned Vehicle Complaint","519 NCX","Dodge","Silver","Place 7 Day Sticker","Inspected and 7 day sticker applied to vehicle","30","564 W ROSCOE ST","60657","1171827.58192782","1922694.68003297","44","19","6","8","41.943435964634276","-87.64440648698789","POINT (41.943435964634276 -87.64440648698789)",,,,
"2014-12-16T00:00:00.000","Completed","2014-12-29T00:00:00.000","14-02148287","Abandoned Vehicle Complaint","R478541","Toyota","Red","FVI - Outcome","Vehicle was moved from original address requested","14","515 W WELLINGTON AVE","60657","1172289.00738796","1920225.80926691","44","19","6","8","41.936433339168474","-87.64250200623323","POINT (41.936433339168474 -87.64250200623323)",,,,
"2014-10-10T00:00:00.000","Completed","2014-11-03T00:00:00.000","14-01739171","Abandoned Vehicle Complaint","737LIL","Volvo","Silver","FVI - Outcome","Need Vehicle Tow Report","30","751 W BRIAR PL","60657",,,"44","19","6","8","41.938979780552046","-87.64881016091604","POINT (41.938979780552046 -87.64881016091604)",,,,
"2019-12-20T00:00:00.000","Completed","2020-01-09T00:00:00.000","19-00175707","Abandoned Vehicle Complaint",".",,"Unknown","Initial Inspection","Vehicle was moved from original address requested","19","755 W BRIAR PL","60657","1170667.97429617","1921142.38007092","44","19","6","8","41.938977202038835","-87.6489611728416","POINT (41.938977202038835 -87.6489611728416)",,,,
"2020-06-25T00:00:00.000","Open",,"20-00045343","Abandoned Vehicle Complaint","1390802-IL","Mercedes","White",,,,"3505 N BROADWAY","60657","1171173.45080131","1923527.6880127","46","19","6","8","41.94570602825879","-87.64611016969162","POINT (41.94570602825879 -87.64611016969162)",,,,
"2016-03-03T00:00:00.000","Completed","2016-05-16T00:00:00.000","16-01292660","Abandoned Vehicle Complaint","992144B","Hyundai","Black","FVI - Outcome","Vehicle was moved from original address requested","30","611 W PATTERSON AVE","60613","1171138.09770067","1924690.28887192","46","19","6","8","41.94863985687492","-87.64650843446951","POINT (41.94863985687492 -87.64650843446951)",,,,
"2016-03-08T00:00:00.000","Completed - Dup","2016-03-08T00:00:00.000","16-01472831","Abandoned Vehicle Complaint","Y732761","Chevrolet","Green","FVI - Outcome","Create Work Order","128","543 W ROSCOE ST","60657","1171985.19816791","1922698.44576839","44","19","6","8","41.94322488404169","-87.64369139919891","POINT (41.94322488404169 -87.64369139919891)",,,,
"2016-05-13T00:00:00.000","Completed","2016-05-13T00:00:00.000","16-03312984","Abandoned Vehicle Complaint","5284188","Toyota","Red","FVI - Outcome","Return to Owner - Vehicle","90","2848 N BROADWAY","60657","1171728.07596878","1919344.07481","44","19","6","8","41.93412808061806","-87.64449609679843","POINT (41.93412808061806 -87.64449609679843)",,,,
"2013-06-06T00:00:00.000","Completed","2013-07-19T00:00:00.000","13-00709808","Abandoned Vehicle Complaint","MICHIGAN 3HG G56","Chevrolet","Green","FVI - Outcome","Vehicle was moved from original address requested","0","2855 N ORCHARD ST","60657","1171151.01141035","1919187.36071346","44","19","6","8","41.934333322187044","-87.64656896668583","POINT (41.934333322187044 -87.64656896668583)",,,,
"2019-02-23T00:00:00.000","Completed","2019-03-25T00:00:00.000","19-00022101","Abandoned Vehicle Complaint","Q934422","Suzuki","Blue","Initial Inspection","Return to Owner - Vehicle",,"530 W ALDINE","60657","1172116.88351374","1922303.20363136","44","19","6","8","41.94236020564645","-87.64326687349","POINT (41.94236020564645 -87.64326687349)",,,,
"2018-10-24T00:00:00.000","Completed","2018-11-09T00:00:00.000","18-02991543","Abandoned Vehicle Complaint","8653038","Honda","Gray","Initial Inspection","Vehicle was moved from original address requested","20","3128 N ORCHARD ST","60657","1171038.55207806","1921064.34818158","44","19","6","8","41.93882042702923","-87.6469417974428","POINT (41.93882042702923 -87.6469417974428)",,,,
"2013-03-25T00:00:00.000","Completed","2013-05-07T00:00:00.000","13-00333076","Abandoned Vehicle Complaint","7981453","Mitsubishi","Cream","FVI - Outcome","Vehicle was moved from original address requested","75","725 W ROSCOE ST","60657","1170653.43979315","1922795.69078169","44","19","6","8","41.94351810737883","-87.64867588738488","POINT (41.94351810737883 -87.64867588738488)",,,,
"2011-07-26T00:00:00.000","Completed","2011-08-01T00:00:00.000","11-03466963","Abandoned Vehicle Complaint","BGE 3695","Pontiac","Silver","FVI - Outcome","Return to Owner - Vehicle","21","531 W ROSCOE ST","60657",,,"44","23","6","8","41.94322984756292","-87.64326984640645","POINT (41.94322984756292 -87.64326984640645)",,,,
"2011-10-15T00:00:00.000","Completed","2011-10-18T00:00:00.000","11-03957306","Abandoned Vehicle Complaint","UNKNOWN","Ford","Green","FVI - Outcome","Vehicle was moved from original address requested","10","600 W BELMONT AVE","60657","1171687.11469151","1921495.42542311","44","23","6","8","41.9401520754596","-87.64452570032643","POINT (41.9401520754596 -87.64452570032643)",,,,
"2017-01-14T00:00:00.000","Completed","2017-02-01T00:00:00.000","17-00245478","Abandoned Vehicle Complaint","Z965829","Toyota","Gray","FVI - Outcome","Vehicle was moved from original address requested","10","588 W HAWTHORNE PL","60657","1171550.73142838","1923013.1804266","44","19","6","8","41.94433687342444","-87.64480119407119","POINT (41.94433687342444 -87.64480119407119)",,,,
"2016-07-27T00:00:00.000","Completed","2016-08-10T00:00:00.000","16-05273220","Abandoned Vehicle Complaint",,,,"FVI - Outcome","Vehicle was moved from original address requested",,"456 W MELROSE ST","60657","1172442.041025","1921913.842725","44","19","6","8","41.94128784720173","-87.64152440443718","POINT (41.94128784720173 -87.64152440443718)",,,,
"2018-08-01T00:00:00.000","Completed - Dup","2018-08-02T00:00:00.000","18-02273196","Abandoned Vehicle Complaint","S800026","Kia Motors Corp","White","FVI - Outcome","Create Work Order","30","421 W SURF ST","60657","1172961.31342611","1919425.69880032","44","19","6","8","41.93421882641698","-87.64024259969786","POINT (41.93421882641698 -87.64024259969786)",,,,
"2014-10-17T00:00:00.000","Completed","2014-11-10T00:00:00.000","14-01781849","Abandoned Vehicle Complaint","6AB8339","Toyota","Black","FVI - Outcome","Need Vehicle Tow Report","10","513 W WELLINGTON AVE","60657",,,"44","19","6","8","41.9364346190639","-87.6424268654244","POINT (41.9364346190639 -87.6424268654244)",,,,
"2018-08-23T00:00:00.000","Completed","2018-10-03T00:00:00.000","18-02476431","Abandoned Vehicle Complaint","AN84643","Ford","Red","Place 7 Day Sticker","Inspected and 7 day sticker applied to vehicle","10","843 W FLETCHER ST","60657","1170036.63439954","1921101.24990677","44","19","6","8","41.93888461258439","-87.65088977094099","POINT (41.93888461258439 -87.65088977094099)",,,,
"2018-09-26T00:00:00.000","Completed","2018-11-02T00:00:00.000","18-02777215","Abandoned Vehicle Complaint","LWI5302","(Unlisted Construction Equipment Make)","Green","Initial Inspection","Vehicle was moved from original address requested","8","531 W STRATFORD PL","60657","1172008.330175","1923565.4049","44","19","6","8","41.94563513632535","-87.64304746518236","POINT (41.94563513632535 -87.64304746518236)",,,,
"2018-10-02T00:00:00.000","Completed","2018-12-10T00:00:00.000","18-02825005","Abandoned Vehicle Complaint","PJJ 4579","Volkswagen","Silver","Initial Inspection","Proceed with Tow Case","12","3656 N PINEGROVE","60613","1171145.79770067","1924809.38887192","46","19","6","8","41.94941851603832","-87.64661656538277","POINT (41.94941851603832 -87.64661656538277)",,,,
"2018-09-29T00:00:00.000","Completed","2018-10-29T00:00:00.000","18-02799764","Abandoned Vehicle Complaint","GZX7589","Volkswagen","Blue","Initial Inspection","Vehicle was moved from original address requested","21","555 W CORNELIA AVE","60657","1171676.189575","1923701.1983","46","19","6","8","41.94599026354412","-87.6443371995947","POINT (41.94599026354412 -87.6443371995947)",,,,
"2015-09-08T00:00:00.000","Completed","2015-09-18T00:00:00.000","15-04641156","Abandoned Vehicle Complaint","GLDNI1","Chrysler","Gold","FVI - Outcome","Vehicle was moved from original address requested","10","741 W OAKDALE AVE","60657",,,"44","19","6","8","41.935474783945324","-87.64879740231999","POINT (41.935474783945324 -87.64879740231999)",,,,
"2015-09-25T00:00:00.000","Completed","2015-11-04T00:00:00.000","15-05057129","Abandoned Vehicle Complaint","CM4280","Bmw","Black","Place 7 Day Sticker","Inspected and 7 day sticker applied to vehicle","14","655 W ROSCOE ST","60657","1171193.64419995","1922811.23008847","44","19","6","8","41.94355091161839","-87.64659981938865","POINT (41.94355091161839 -87.64659981938865)",,,,
"2015-06-10T00:00:00.000","Completed","2015-07-20T00:00:00.000","15-02618362","Abandoned Vehicle Complaint","DR 1243","Honda","Orange","FVI - Outcome","Need Vehicle Tow Report","120","651 W MELROSE ST","60657",,,"44","19","6","8","41.94099422478932","-87.64636763597343","POINT (41.94099422478932 -87.64636763597343)",,,,
"2011-07-27T00:00:00.000","Completed","2011-08-12T00:00:00.000","11-03469448","Abandoned Vehicle Complaint","L456745","Chevrolet","Red","FVI - Outcome","Need Vehicle Tow Report","7","2817 N BURLING ST","60657",,,"44","19","6","8","41.933272493420986","-87.64753845247053","POINT (41.933272493420986 -87.64753845247053)",,,,
"2011-11-22T00:00:00.000","Completed","2011-12-16T00:00:00.000","11-04160439","Abandoned Vehicle Complaint","C57015","(Unlisted Make)","Red","FVI - Outcome","Need Vehicle Tow Report","7","725 W BROMPTON AVE","60657",,,"46","23","6","8","41.94627534940915","-87.64774682928376","POINT (41.94627534940915 -87.64774682928376)",,,,
"2014-11-12T00:00:00.000","Completed","2014-12-05T00:00:00.000","14-01954725","Abandoned Vehicle Complaint","S682577","Honda","Blue","FVI - Outcome","Need Vehicle Tow Report","21","513 W WELLINGTON AVE","60657",,,"44","19","6","8","41.9364346190639","-87.6424268654244","POINT (41.9364346190639 -87.6424268654244)",,,,
"2017-03-28T00:00:00.000","Completed","2017-04-24T00:00:00.000","17-01744655","Abandoned Vehicle Complaint",,,,"FVI - Outcome","Vehicle was moved from original address requested",,"565 W SURF ST","60657","1171865.87596878","1919388.87481","44","19","6","8","41.934148109457986","-87.64395273861427","POINT (41.934148109457986 -87.64395273861427)",,,,
"2014-03-24T00:00:00.000","Completed","2014-04-25T00:00:00.000","14-00421967","Abandoned Vehicle Complaint","DE6064","Vespa","Blue","FVI - Outcome","Need Vehicle Tow Report","90","3254 N BROADWAY","60657",,,"44","19","6","8","41.941696520599116","-87.64459999565184","POINT (41.941696520599116 -87.64459999565184)",,,,
"2014-05-13T00:00:00.000","Completed","2014-05-19T00:00:00.000","14-00702175","Abandoned Vehicle Complaint","H604994","Toyota","Gray","FVI - Outcome","Vehicle was moved from original address requested","4","568 W SURF ST","60657",,,"44","19","6","8","41.93436339853526","-87.64419443729716","POINT (41.93436339853526 -87.64419443729716)",,,,
"2014-03-09T00:00:00.000","Completed","2014-03-21T00:00:00.000","14-00331929","Abandoned Vehicle Complaint","417 9151","Subaru","Black","FVI - Outcome","Vehicle was moved from original address requested","14","536 W ALDINE AVE","60657",,,"44","19","6","8","41.942362256784826","-87.6434826936918","POINT (41.942362256784826 -87.6434826936918)",,,,
"2013-12-02T00:00:00.000","Completed","2013-12-06T00:00:00.000","13-01792285","Abandoned Vehicle Complaint","R608771","Jeep/Cherokee","Gray","FVI - Outcome","Vehicle was moved from original address requested","60","522 W OAKDALE AVE","60657",,,"44","19","6","8","41.93565624494142","-87.64277565650104","POINT (41.93565624494142 -87.64277565650104)",,,,
"2014-03-18T00:00:00.000","Completed - Dup","2014-04-01T00:00:00.000","14-00386887","Abandoned Vehicle Complaint","R246731","Audi","Gray","FVI - Outcome","Create Work Order","105","3121 N ORCHARD ST","60657","1171039.9600161","1921023.11002819","44","19","6","8","41.9386175572638","-87.64664047128646","POINT (41.9386175572638 -87.64664047128646)",,,,
"2014-07-23T00:00:00.000","Completed","2014-07-30T00:00:00.000","14-01182960","Abandoned Vehicle Complaint","4262","Ford","White","FVI - Outcome","Vehicle was moved from original address requested","-1","555 W SURF ST","60657",,,"44","19","6","8","41.934155073209475","-87.6435615899184","POINT (41.934155073209475 -87.6435615899184)",,,,
"2015-02-12T00:00:00.000","Completed - Dup","2015-02-20T00:00:00.000","15-00268140","Abandoned Vehicle Complaint","L18 3268","Chevrolet","Black","Place 7 Day Sticker","Follow on Activity was created","30","661 W ROSCOE ST","60657","1171149.43979315","1922809.99078169","44","19","6","8","41.94354785769067","-87.64680718991154","POINT (41.94354785769067 -87.64680718991154)",,,,
"2015-02-18T00:00:00.000","Completed - Dup","2015-02-19T00:00:00.000","15-00327669","Abandoned Vehicle Complaint","K97 7652","Hyundai","Black","FVI - Outcome","Create Work Order","21","3419 N ELAINE PL","60657","1170842.83979315","1922927.99078169","44","19","6","8","41.94425293428269","-87.64739808404639","POINT (41.94425293428269 -87.64739808404639)",,,,
"2014-08-15T00:00:00.000","Completed","2014-08-26T00:00:00.000","14-01347186","Abandoned Vehicle Complaint","D141KN","Chevrolet","Blue","FVI - Outcome","Return to Owner - Vehicle","30","508 W WELLINGTON AVE","60657",,,"44","19","6","8","41.936656651849006","-87.64228328870294","POINT (41.936656651849006 -87.64228328870294)",,,,
"2014-08-07T00:00:00.000","Completed","2014-08-19T00:00:00.000","14-01292042","Abandoned Vehicle Complaint","AA5U3A","Kia Motors Corp","Gold","FVI - Outcome","Vehicle was moved from original address requested","21","3012 N WATERLOO CT","60657",,,"44","19","6","8","41.93681859979256","-87.64614481198005","POINT (41.93681859979256 -87.64614481198005)",,,,
"2014-09-02T00:00:00.000","Completed","2014-09-08T00:00:00.000","14-01463655","Abandoned Vehicle Complaint",,,"Brown","FVI - Outcome","Return to Owner - Vehicle","1000","631 W WELLINGTON AVE","60657",,,"44","19","6","8","41.936370395622866","-87.64545999363676","POINT (41.936370395622866 -87.64545999363676)",,,,
"2014-09-08T00:00:00.000","Completed","2014-10-09T00:00:00.000","14-01505683","Abandoned Vehicle Complaint","CCJ1626","Jeep - Year Greater 1988","White","FVI - Outcome","Need Vehicle Tow Report","7","513 W WELLINGTON AVE","60657",,,"44","19","6","8","41.9364346190639","-87.6424268654244","POINT (41.9364346190639 -87.6424268654244)",,,,
"2014-09-02T00:00:00.000","Completed","2015-01-20T00:00:00.000","14-01464232","Abandoned Vehicle Complaint","DB1846","(Unlisted Make)","Silver","FVI - Outcome","Need Vehicle Tow Report","90","622 W OAKDALE AVE","60657",,,"44","19","6","8","41.93567943225063","-87.64520266543099","POINT (41.93567943225063 -87.64520266543099)",,,,
"2014-08-31T00:00:00.000","Completed","2014-09-16T00:00:00.000","14-01453344","Abandoned Vehicle Complaint","BYU-5783","Chevrolet","Black","FVI - Outcome","Vehicle was moved from original address requested","3","3418 N LAKE SHORE DR","60657",,,"44","19","6","8","41.9439893949938","-87.64099867014988","POINT (41.9439893949938 -87.64099867014988)",,,,
"2020-04-08T00:00:00.000","Completed","2020-04-14T00:00:00.000","20-00032338","Abandoned Vehicle Complaint","DRKMRK","Jeep","Black",,,"20","623 W ADDISON ST","60613","1171242.60248021","1924316.32966608","46","19","6","8","41.947549149842835","-87.64631619059539","POINT (41.947549149842835 -87.64631619059539)",,,,
"2020-01-14T00:00:00.000","Completed","2020-01-24T00:00:00.000","20-00005333","Abandoned Vehicle Complaint","NONE","Construction Equipment","Blue","Initial Inspection","Proceed with Tow Case",,"2925 N MILDRED","60657","1169762.55923153","1919726.42557394","44","19","6","8","41.93530375920721","-87.65138012016673","POINT (41.93530375920721 -87.65138012016673)",,,,
